Indicator Number,Indicator,ShortName,Section,API
142,"Percent of Commercial Properties with Rehab Permits Above $5,000",crehabXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Crehab/FeatureServer
143,Total Number of Businesses,numbusXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Numbus/FeatureServer
144,Total Number of Employees,totempXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Totemp/FeatureServer
145,Number of Businesses with Under 50 Employees,smlbusXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Smlbus/FeatureServer
146,Percent of Employed Residents who Work Outside the City,wrkoutXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Wrkout/FeatureServer
147,Total Dollar Amount Invested in Small Businesses per 50 Businesses,smlinvstXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Smlinvst/FeatureServer
148,CRA data (residential and commercial),,Workforce and Economic Development,
149,"Number of Banks and Bank Branches per 1,000 Residents",banksXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Banks/FeatureServer
150,Percent of Businesses that are 1 Year old or less,biz1_XX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Biz1_/FeatureServer
151,Percent of Businesses that are 2 Years old or less,biz2_XX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Biz2_/FeatureServer
152,Percent of Businesses that are 4 Years old or less,biz4_XX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Biz4_/FeatureServer
153,Percent of Adult Population on Parole/Probation,prbprlXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Prbprl/FeatureServer
154,Percent of CSA that is Either Low or Moderate income (by Census tract),,Workforce and Economic Development,
155,"Percent of persons in MOED training programs (per 1,000 Residents)",,Workforce and Economic Development,
156,Percent of Households with No Internet at Home,nohhintXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Nohhint/FeatureServer
157,Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),neiindXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Neiind/FeatureServer
158,"Neighborhood Businesses per 1,000 Residents (NAICS Sectors)",neibusXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Neibus/FeatureServer
159,Total number of Employees by Selected Neighborhood Industry (NAICS Sectors),neiempXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Neiemp/FeatureServer
160,Percent of Population (Over the age of 18) Who are Registered to Vote,regvoteXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Regvote/FeatureServer
161,Percent Population (Over the age of 18) Who Voted in the General Election,votedXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Voted/FeatureServer
162,"Rate of Dirty Streets and Alleys Reports per 1,000 Residents",dirtystXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Dirtyst/FeatureServer
163,"Rate of Clogged Storm Drain Reports per 1,000 Residents",cloggedXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Clogged/FeatureServer
164,Percent of Population that Drove Alone to Work,drvaloneXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Dralone/FeatureServer
165,Percent of Population that Carpool to Work,carpoolXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Carpool/FeatureServer
166,Percent of Population that Uses Public Transportation to Get to Work,pubtranXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pubtran/FeatureServer
167,Percent of Population that Walks to Work,walkedXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Walked/FeatureServer
168,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,trav14_XX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav14_/FeatureServer
169,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,trav29_XX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav29_/FeatureServer
170,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,trav44_XX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav44_/FeatureServer
171,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,trav45_XX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav45_/FeatureServer
172,Percent of Area Covered by Trees,treesXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trees/FeatureServer
173,Air Quality Risk,,Sustainability,
174,Percent of Area Covered by Impervious Surface,,Sustainability,
175,Number of Community Managed Open Spaces,cmosXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Cmos/FeatureServer
176,Median Daily Water Consumption,watercXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Waterc/FeatureServer
177,"Number of Downspout Disconnections per 1,000 Residences",,Sustainability,
178,Number of Public Trashcans,,Sustainability,
179,"Rate of Sewer/Water Main Breaks per 1,000 Residents",,Sustainability,
180,Natural gas utilization,,Sustainability,
181,Energy Use,,Sustainability,
182,Percent of Residences Heated by Utility Gas,heatgasXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Heatgas/FeatureServer
